AmbientOcclusion amoc
Attribute attr
Bevel beve
CameraData camd
Fresnel fres
NewGeometry geom
HairInfo haii
LayerWeight layw
LightPath ligp
ObjectInfo obji
ParticleInfo pari
RGB rgba
Tangent tang
TexCoord texc
UVMap uvmp
Value valu
Wireframe wire
OutputMaterial mato
OutputLight ligo
AddShader adds
Background back
BsdfDiffuse diff
Emission emis
BsdfGlass glas
BsdfGlossy glos
BsdfHair haib
Holdout hold
MixShader mixs
BsdfPrincipled prib
BsdfHairPrincipled prhb
VolumePrincipled prvo
BsdfRefraction refr
SubsurfaceScattering sssg
BsdfToon toon
BsdfTranslucent tral
BsdfTransparent tran
BsdfVelvet velv
VolumeAbsorption voab
VolumeScatter vosc
TexBrick btex
TexChecker ctex
TexEnvironment etex
TexGradient gtex
TexIES iete
TexImage itex
TexMagic mtex
TexMusgrave mute
TexNoise ntex
TexPointDensity ptex
TexSky stex
TexVoronoi vtex
TexWave wtex
BrightContrast bcon
Gamma gamm
HueSaturation hsva
Invert invt
LightFalloff lifa
MixRGB mixn
RGBCurve rgbc
Bump bump
VectorCurve vecc
Displacement disp
Mapping mapv
Normal norm
NormalMap nomm
VectorDisplacement vdis
VectorTransform vtra
Blackbody bbdy
ValToRGB colr
CombineHSV chsv
CombineRGB crgb
SeparateHSV shxv
SeparateRGB srgb
CombineXYZ cxyz
SeparateXYZ sxyz
RGBToBW rgbb
Math math
VectorMath vecm
Wavelength wavl
